"plot","avg_trans_30_70cm","avg_trans_30_100cm","avg_trans_30_125cm","avg_trans_30_150cm","avg_trans_30_175cm","avg_trans_30_200cm"
"CP3-012",34.8622030139104,44.857812370828,50.5972089685597,54.2279686939177,56.5969423303934,58.129671940159
"CP3-014",40.1443826175459,52.5146214229978,59.4722482573012,63.2971509062667,65.8279868130003,67.3706370338778
"CP3-2023-01",36.3836970142578,46.3917244663407,52.1396624247604,55.5948582274114,58.0437993052029,59.7497581476172
"CP3-998",30.9764303277,40.534007813991,45.5452188005333,48.875645600493,51.0164066455854,52.302894352478
"CP5-002",46.2148097906708,60.1616893558883,66.3697376328221,69.1801223386444,70.7871659233701,71.7669641928951
"DryGB2-006",17.5170694884354,23.7570902033676,26.7907256172014,28.9433484628981,30.4582318258183,31.4777944694425
"DryGB2-019",20.1845005716517,27.0387241884694,30.4179819852154,32.66964127812,34.1739552077682,35.1185164873914
"DryGB3-996",49.2147008394026,64.7272765173067,72.2257627632765,75.2623706793601,76.7478680046398,77.4452461967277
"DryGB3-997",45.1625958740285,60.1036153969695,68.9919878089231,74.2780584521492,77.6831956811755,79.9949107895659
"DryGB3-998",34.6387271144967,44.3963365459818,48.609301474102,50.5274411749204,51.5676801045698,52.0820754212268
"DryGB3-999",40.1376575810147,53.3545558939159,61.1338974432753,66.7993436762898,70.8062018949077,73.4805104731073
"DryGB4-009",50.2358410292177,65.5524642125335,72.6226691021014,76.0459695152843,78.0974533274702,79.0414773147777
"DryGB5-019",61.0924654212262,81.7141630831246,93.3734229238304,101.356377541042,106.801639875685,110.566143222414
"GB3-003",36.4060221780594,46.9604225626065,52.0884290121968,55.1765753406761,57.0625312394554,58.16754876701
"GB3-014",40.0021084086446,52.8704334109441,60.2139147807503,64.8655932221914,67.7665628984671,69.5384536239166
"GB4-007",44.8837478452001,58.637218142992,66.3040369865207,71.9668669172466,76.0224868161768,78.5653037076766
"GB4-018",34.0095057663799,44.6586352387394,49.1781924811737,51.7848214544843,53.4029059675763,54.3540503299958
"GB4-020",58.9000972639029,76.2665770026434,86.4989615179898,92.8085529255355,97.2044987463228,100.048775831237
"GB4-997",46.5674856896068,60.6234663471799,67.3878926739264,71.1123516260223,73.3433496157182,74.7549890375245
"GB4-998",55.7110739570834,73.0602907279239,82.0796596488963,85.8941942298116,87.6260320656204,88.4341366849621
"GB4-999",53.9757985741961,69.6166068623774,78.9862545901518,84.0801430311122,87.3753666153598,89.5104584749236
"GB5-005",76.4365990248857,103.354942163429,120.424784081952,133.671729620583,143.390690591988,149.899575297237
"GB5-019x",77.1391241620721,100.847177443842,115.955170267683,126.10775179658,134.815977851927,141.772328678451
"GB6-011",81.5278101849098,107.807567812465,123.996350605449,134.507930872411,142.26232131055,147.907803286722
"GB6-999",114.405667637733,147.250158066129,165.433774588315,174.104096697188,180.071629120426,184.20354180787
"GB7-002",91.8533894376673,119.001662052067,136.204290520718,145.847572942297,153.615327598654,159.588246650144
"GP3-008",37.9314438191261,46.6914252702393,49.8729488430376,50.7079808983357,51.1453947492572,51.3959880774418
"GP3-997",74.4591437020526,91.2698696832699,98.3440423696061,101.498169900348,103.251915806973,104.311523497066
"GP3-999",61.9939941015923,76.2275775386117,81.8454390957727,84.6707889564833,86.5021258593071,87.6387282446519
"GP4-999",49.3061064963566,60.0067796876231,64.2015353447586,65.4662323732566,66.1435511857364,66.5714877085014
"GP5-005",69.1711355316516,86.5056241935536,94.6313350151813,97.9254473480664,99.5131932745514,100.390251050516
"PNWMtn3-008",47.3721050071679,64.4195898589388,74.4423565785616,81.0836077239669,85.3524227076423,87.8771631729997
"PNWMtn7-012",84.5226709343627,112.103172856924,130.687314114355,145.078055183229,157.743602779623,168.796194029557
"RkyMtn4-015",64.9743992331265,84.4125322842696,94.0903923871229,99.7743600088131,103.154916427441,105.144952406984
"RkyMtn4-017",71.9157884794421,91.4952452684252,101.867446888807,106.545100455117,109.109634324477,110.539753469861
"RkyMtn4-999",84.1331059429896,107.184269330445,121.557458447862,132.039650883378,140.630509454953,147.323271483365
"RkyMtn5-015",85.1825328078574,108.770532866931,121.076642836543,127.009934287683,130.28583475919,131.939471271385
"RkyMtn5-017",62.1820556578963,80.9714581768145,90.8177079440623,96.36348227357,99.6895506326316,101.645883060371
"RkyMtn5-999",62.7440033821468,76.4719013678806,82.3347602237036,84.6589668535709,85.7099798327569,86.2621663220751
"RkyMtn6-010",98.9241199012595,125.771913408847,141.065577123026,148.055745210501,152.54209976401,155.489297051956
"RkyMtn7-999",86.2830747616712,110.961913597514,127.096796501773,137.351921131254,146.302142850631,153.970031671551
"WYBas2-006",13.6338660039591,18.0086056232852,19.8766110089388,20.8430745411842,21.4120078490345,21.7498577983164
"WYBas3-014",29.0080637413235,36.3858538787274,38.9168100089429,39.8035539512695,40.2875362249016,40.5681210794529
"WYBas3-999",26.0205064058835,34.0882887057401,38.3470712797533,40.6724355458292,41.9215078468963,42.5844051861245
"WYBas4-010",62.4740370542687,79.4002442046875,87.4868606681962,90.1789751290392,91.5875905699339,92.3027665946277
"WYBas4-019",59.6514578830453,77.2259296758598,85.9404717631801,90.0583602893937,92.3146623621045,93.6060369444298
"WYBas4-999",19.5851525655279,25.9181085299266,28.4007125924614,29.8402459839727,30.7295983899274,31.2673497974067
"WYBas5-020",54.387296922207,71.4567766938753,80.8442036601094,85.7327565651075,87.9678101913419,89.0560606499407
"WYBas5-999",90.366851459727,116.884417626319,131.521002962919,139.057664196255,143.796150718741,146.883717606744
"WYBas6-007",114.975471368819,149.241088696386,169.018349356536,180.030192559845,187.027823140612,191.225690394713
"WYBasX-001",39.6753796001578,50.1275532889752,53.8817264837886,55.3514827149438,56.1624578668537,56.6328979973228
