code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
YUGL,Yucca glauca Nutt.,soapweed yucca,Agavaceae,SUC,SUC
CYAC,Cymopterus acaulis (Pursh) Raf.,plains springparsley,Apiaceae,PF,PF
CYCO4,Cymopterus corrugatus M.E. Jones,wrinklewing springparsley,Apiaceae,PF,PF
CYIB,Cymopterus ibapensis M.E. Jones,Ibapah springparsley,Apiaceae,PF,PF
CYJO,Cymopterus jonesii J.M. Coult. & Rose,Jones' springparsley,Apiaceae,PF,PF
CYPU,Cymopterus purpurascens (A. Gray) M.E. Jones,widewing springparsley,Apiaceae,PF,PF
LOFO,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose,desert biscuitroot,Apiaceae,PF,PF
LOMA3,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,bigseed biscuitroot,Apiaceae,PF,PF
LONE,Lomatium nevadense (S. Watson) J.M. Coult. & Rose,Nevada biscuitroot,Apiaceae,PF,PF
LOMATPF,Lomatium Raf.,desertparsley,Apiaceae,PF,PF
LOSI2,Lomatium simplex (Nutt.) J.F. Macbr.,Great Basin desertparsley,Apiaceae,PF,PF
LOTR2,Lomatium triternatum (Pursh) J.M. Coult. & Rose,nineleaf biscuitroot,Apiaceae,PF,PF
LOVA,Lomatium vaginatum J.M. Coult. & Rose,broadsheath desertparsley,Apiaceae,PF,PF
OSOC,Osmorhiza occidentalis (Nutt. ex Torr. & A. Gray) Torr.,western sweetroot,Apiaceae,PF,PF
PEGA3,Perideridia gairdneri (Hook. & Arn.) Mathias,Gardner's yampah,Apiaceae,PF,PF
ACMI2,Achillea millefolium L.,common yarrow,Asteraceae,PF,PF
AGGL,Agoseris glauca (Pursh) Raf.,pale agoseris,Asteraceae,PF,PF
AGOSEPF,Agoseris Raf.,agoseris,Asteraceae,PF,PF
ANAN2,Antennaria anaphaloides Rydb.,pearly pussytoes,Asteraceae,PF,PF
ANDI2,Antennaria dimorpha (Nutt.) Torr. & A. Gray,low pussytoes,Asteraceae,PF,PF
ANTENPF,Antennaria Gaertn.,pussytoes,Asteraceae,PF,PF
ANGE3,Antennaria geyeri A. Gray,pinewoods pussytoes,Asteraceae,PF,PF
ANMI3,Antennaria microphylla Rydb.,littleleaf pussytoes,Asteraceae,PF,PF
ANPA4,Antennaria parvifolia Nutt.,small-leaf pussytoes,Asteraceae,PF,PF
ARSO2,Arnica sororia Greene,twin arnica,Asteraceae,PF,PF
ARARA,Artemisia arbuscula Nutt. ssp. arbuscula,little sagebrush,Asteraceae,SH,SH
ARCA13,Artemisia cana Pursh,silver sagebrush,Asteraceae,SH,SH
ARDR4,Artemisia dracunculus L.,tarragon,Asteraceae,PF,PF
ARFR4,Artemisia frigida Willd.,prairie sagewort,Asteraceae,SSH,SSH
ARLU,Artemisia ludoviciana Nutt.,white sagebrush,Asteraceae,PF,PF
ARNO4,Artemisia nova A. Nelson,black sagebrush,Asteraceae,SH,SH
ARTRT,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush,Asteraceae,ARTR,SH
ARTRV,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush,Asteraceae,ARTR,SH
ARTRW8,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush,Asteraceae,ARTR,SH
ARTRT2,Artemisia tripartita Rydb. ssp. tripartita,threetip sagebrush,Asteraceae,SH,SH
BAPL3,Baileya pleniradiata Harv. & A. Gray ex A. Gray,woolly desert marigold,Asteraceae,PF,PF
BACA3,Balsamorhiza careyana A. Gray,Carey's balsamroot,Asteraceae,PF,PF
BASA3,Balsamorhiza sagittata (Pursh) Nutt.,arrowleaf balsamroot,Asteraceae,PF,PF
CEST8,Centaurea stoebe L.,spotted knapweed,Asteraceae,PF,PF
CHDO,Chaenactis douglasii (Hook.) Hook. & Arn.,Douglas' dustymaiden,Asteraceae,PF,PF
CHST,Chaenactis stevioides Hook. & Arn.,Esteve's pincushion,Asteraceae,AF,AF
CHER2,Chaetopappa ericoides (Torr.) G.L. Nesom,rose heath,Asteraceae,PF,PF
CHVA2,Chrysothamnus vaseyi (A. Gray) Greene,Vasey's rabbitbrush,Asteraceae,SH,SH
CHVI8,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush,Asteraceae,SH,SH
CISU,Cirsium subniveum Rydb.,Jackson Hole thistle,Asteraceae,PF,PF
CRAC2,Crepis acuminata Nutt.,tapertip hawksbeard,Asteraceae,PF,PF
CRAT,Crepis atribarba A. Heller,slender hawksbeard,Asteraceae,PF,PF
CREPIPF,Crepis L. ,hawksbeard,Asteraceae,PF,PF
CRMO4,Crepis modocensis Greene,Modoc hawksbeard,Asteraceae,PF,PF
CROC,Crepis occidentalis Nutt.,largeflower hawksbeard,Asteraceae,PF,PF
ERNA10,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird,rubber rabbitbrush,Asteraceae,SH,SH
ERAP,Erigeron aphanactis (A. Gray) Greene,rayless shaggy fleabane,Asteraceae,PF,PF
ERAR3,Erigeron argentatus A. Gray,silver fleabane,Asteraceae,PF,PF
ERCO4,Erigeron compositus Pursh,cutleaf daisy,Asteraceae,PF,PF
ERCO5,Erigeron corymbosus Nutt.,longleaf fleabane,Asteraceae,PF,PF
ERDI4,Erigeron divergens Torr. & A. Gray,spreading fleabane,Asteraceae,AF,AF
EREA,Erigeron eatonii A. Gray,Eaton's fleabane,Asteraceae,PF,PF
EREN,Erigeron engelmannii A. Nelson,Engelmann's fleabane,Asteraceae,PF,PF
ERFI2,Erigeron filifolius (Hook.) Nutt.,threadleaf fleabane,Asteraceae,PF,PF
ERGR2,Erigeron gracilis Rydb.,quill fleabane,Asteraceae,PF,PF
ERIGE2PF,Erigeron L.,fleabane,Asteraceae,PF,PF
ERLI,Erigeron linearis (Hook.) Piper,desert yellow fleabane,Asteraceae,PF,PF
EROC,Erigeron ochroleucus Nutt.,buff fleabane,Asteraceae,PF,PF
ERPU2,Erigeron pumilus Nutt.,shaggy fleabane,Asteraceae,PF,PF
ERRY,Erigeron rydbergii Cronquist,Rydberg's fleabane,Asteraceae,PF,PF
ERSP4,Erigeron speciosus (Lindl.) DC.,aspen fleabane,Asteraceae,PF,PF
