"plot","transect","microsite","canopy","point","species","length","width","height","number"
"CP3-012",1,"canopy",1,5,"POSE",1,2,6,1
"CP3-012",1,"canopy",1,5,"POSE",1,1,6,1
"CP3-012",1,"canopy",1,5,"POSE",2,2,6,1
"CP3-012",1,"interspace",0,5,"PHLO2",1,1,2,1
"CP3-012",1,"canopy",1,10,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"interspace",0,10,"ASPU9",2,2,2,1
"CP3-012",1,"canopy",1,15,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"interspace",1,15,"NO GAPS >60 cm",NA,NA,NA,1
"CP3-012",1,"canopy",1,17.5,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"interspace",1,17.5,"ACHY",7,3,7,1
"CP3-012",1,"interspace",0.5,17.5,"ACHY",1,2,12,1
"CP3-012",1,"canopy",1,20,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"interspace",1,20,"NO GAPS >60 cm",NA,NA,NA,1
"CP3-012",1,"canopy",1,22.5,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"interspace",0,22.5,"NO PLANTS",NA,NA,NA,0
"CP3-012",1,"canopy",1,25,"ACHY",3,2,12,1
"CP3-012",1,"interspace",0,25,"CHFE3",2,2,2,1
"CP3-012",2,"canopy",1,5,"PHLO2",7,4,8,1
"CP3-012",2,"interspace",0,5,"PLJA",NA,NA,4,1
"CP3-012",2,"canopy",1,10,"NO PLANTS",NA,NA,NA,0
"CP3-012",2,"interspace",0,10,"BOGR2",12,5,5,1
"CP3-012",2,"interspace",0,10,"BOGR2",3,2,3,1
"CP3-012",2,"interspace",0,10,"BOGR2",3,2,4,1
"CP3-012",2,"interspace",0,10,"PLJA",NA,NA,6,1
"CP3-012",2,"interspace",0,10,"BOGR2",3,2,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"PLJA",NA,NA,6,1
"CP3-012",2,"interspace",0,10,"PLJA",NA,NA,6,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"interspace",0,10,"BRTE",NA,NA,4,1
"CP3-012",2,"canopy",1,15,"NO PLANTS",NA,NA,NA,0
"CP3-012",2,"interspace",0,15,"NO PLANTS",NA,NA,NA,0
"CP3-012",2,"canopy",1,20,"ELEL5",1,2,10,1
"CP3-012",2,"canopy",1,20,"ELEL5",5,3,9,1
"CP3-012",2,"interspace",0,20,"ELEL5",2,1,11,1
"CP3-012",2,"interspace",1,20,"ACHY",4,3,10,1
"CP3-012",2,"interspace",1,20,"ELEL5",1,1,10,1
"CP3-012",2,"canopy",1,25,"ELEL5",1,1,12,1
"CP3-012",2,"interspace",0,25,"ACHY",2,2,24,1
"CP3-012",3,"canopy",1,5,"ELEL5",2,1,15,1
"CP3-012",3,"canopy",1,5,"PHLO2",4,1,6,1
"CP3-012",3,"canopy",1,5,"PHLO2",9,3,8,1
"CP3-012",3,"interspace",0,5,"NO PLANTS",NA,NA,NA,0
"CP3-012",3,"canopy",1,10,"PHLO2",13,6,23,1
"CP3-012",3,"interspace",0,10,"PHLO2",2,1,5,1
"CP3-012",3,"canopy",1,15,"ELEL5",2,2,9,1
"CP3-012",3,"canopy",1,15,"ELEL5",2,2,9,1
"CP3-012",3,"interspace",0,15,"NO PLANTS",NA,NA,NA,0
"CP3-012",3,"canopy",1,20,"ELEL5",3,3,6,1
"CP3-012",3,"canopy",1,20,"ELEL5",1,1,10,1
"CP3-012",3,"interspace",0,20,"NO PLANTS",NA,NA,NA,0
"CP3-012",3,"canopy",1,25,"ELEL5",1,1,5,1
"CP3-012",3,"interspace",0,25,"BOGR2",7,4,1,1
"CP3-014",1,"canopy",1,5,"ELEL5",1,1,13,1
"CP3-014",1,"interspace",0,5,"HECO26",1,1,5,1
"CP3-014",1,"canopy",1,10,"NO PLANTS",NA,NA,NA,NA
"CP3-014",1,"interspace",0,10,"ASLE8",4,3,9,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"ASLE8",22,17,16,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"interspace",0,10,"BRTE",NA,NA,19,1
"CP3-014",1,"canopy",1,15,"BRTE",NA,NA,18,1
"CP3-014",1,"interspace",0,15,"NO PLANTS",NA,NA,NA,NA
"CP3-014",1,"canopy",0,20,"BRTE",NA,NA,7,1
"CP3-014",1,"canopy",1,20,"BRTE",NA,NA,17,1
"CP3-014",1,"canopy",0,20,"BRTE",NA,NA,7,1
"CP3-014",1,"canopy",0,20,"BRTE",NA,NA,7,1
"CP3-014",1,"interspace",0,20,"NO PLANTS",NA,NA,NA,NA
"CP3-014",1,"canopy",1,22.5,"BRTE",NA,NA,5,1
"CP3-014",1,"canopy",1,22.5,"HECO26",1,1,5,1
"CP3-014",1,"canopy",1,22.5,"BRTE",NA,NA,5,1
"CP3-014",1,"canopy",1,22.5,"BRTE",NA,NA,5,1
"CP3-014",1,"interspace",NA,22.5,"NO GAPS >60 cm",NA,NA,NA,NA
"CP3-014",1,"canopy",1,25,"NO PLANTS",NA,NA,NA,NA
"CP3-014",1,"interspace",0,25,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"canopy",1,5,"HECO26",1,1,15,1
"CP3-014",2,"canopy",1,5,"ACHY",3,3,28,1
"CP3-014",2,"canopy",1,5,"HECO26",1,1,15,1
"CP3-014",2,"interspace",0,5,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"canopy",0.5,10,"ACHY",5,4,30,1
"CP3-014",2,"canopy",1,10,"HECO26",1,1,4,1
"CP3-014",2,"interspace",0,10,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"canopy",1,15,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"interspace",0,15,"HECO26",2,2,7,1
"CP3-014",2,"canopy",1,20,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"interspace",0,20,"NO PLANTS",NA,NA,NA,NA
"CP3-014",2,"canopy",1,25,"HECO26",1,1,12,1
"CP3-014",2,"interspace",0,25,"NO PLANTS",NA,NA,NA,NA
"CP3-014",3,"canopy",0,5,"BRTE",NA,NA,5,1
"CP3-014",3,"canopy",1,5,"HECO26",1,1,7,1
"CP3-014",3,"canopy",0.5,5,"ACHY",15,5,35,1
"CP3-014",3,"interspace",0,5,"HECO26",1,1,4,1
"CP3-014",3,"interspace",0,5,"HECO26",1,1,6,1
"CP3-014",3,"interspace",0,5,"HECO26",1,1,6,1
"CP3-014",3,"canopy",1,10,"BRTE",NA,NA,15,1
"CP3-014",3,"canopy",1,10,"BRTE",NA,NA,15,1
"CP3-014",3,"interspace",0,10,"HECO26",4,3,20,1
"CP3-014",3,"interspace",0,10,"HECO26",1,2,6,1
"CP3-014",3,"canopy",1,15,"ELEL5",1,1,10,1
"CP3-014",3,"canopy",1,15,"ELEL5",1,1,5,1
"CP3-014",3,"interspace",0,15,"BRTE",NA,NA,5,1
"CP3-014",3,"canopy",1,20,"NO PLANTS",NA,NA,NA,NA
