"plot","transect","animal","age","count"
"CP3-012",2,"cow","old",1
"CP3-012",2,"deer","old",3
"CP3-012",2,"deer","recent",3
"CP3-012",3,"deer","old",2
"CP3-012",3,"deer","recent",1
"CP3-014",1,"antelope","old",4
"CP3-014",1,"antelope","old",2
"CP3-014",1,"cow","old",1
"CP3-014",1,"deer","old",2
"CP3-014",1,"horse","old",2
"CP3-014",2,"antelope","old",3
"CP3-014",2,"antelope","recent",4
"CP3-014",2,"horse","old",2
"CP3-014",3,"antelope","old",2
"CP3-014",3,"antelope","recent",3
"CP3-014",3,"horse","old",1
"CP3-2023-01",1,"horse","old",1
"CP3-2023-01",3,"cow","old",1
"CP3-2023-01",3,"cow","recent",1
"CP3-2023-01",3,"horse","old",1
"CP3-998",3,"deer","old",1
"CP5-002",1,"deer","old",3
"CP5-002",1,"deer","recent",1
"CP5-002",1,"elk","old",3
"CP5-002",1,"elk","recent",1
"CP5-002",2,"cow","old",1
"CP5-002",2,"deer","recent",1
"CP5-002",2,"elk","old",2
"CP5-002",2,"elk","recent",2
"CP5-002",3,"antelope","old",1
"CP5-002",3,"deer","recent",2
"CP5-002",3,"deer","old",1
"CP5-002",3,"elk","old",2
"CP5-002",3,"elk","recent",3
"DryGB2-006",1,"deer","old",2
"DryGB2-006",1,"horse","old",2
"DryGB2-006",2,"deer","old",1
"DryGB2-006",3,"deer","old",1
"DryGB2-006",3,"horse","old",1
"DryGB2-019",1,"antelope","old",2
"DryGB2-019",1,"deer","old",1
"DryGB2-019",2,"cow","old",1
"DryGB2-019",2,"deer","old",1
"DryGB2-019",3,"antelope","old",1
"DryGB3-996",1,"antelope","old",2
"DryGB3-996",1,"deer","old",1
"DryGB3-996",2,"antelope","old",1
"DryGB3-996",3,"antelope","old",3
"DryGB3-997",1,"cow","old",1
"DryGB3-997",2,"cow","old",1
"DryGB3-998",1,"deer","old",2
"DryGB3-998",2,"deer","old",2
"DryGB3-998",3,"antelope","old",1
"DryGB3-998",3,"deer","old",2
"DryGB3-999",1,"antelope","old",1
"DryGB3-999",1,"deer","old",1
"DryGB4-009",1,"cow","old",1
"DryGB4-009",1,"deer","old",1
"DryGB4-009",2,"deer","old",4
"DryGB4-009",2,"deer","recent",1
"DryGB4-009",3,"deer","old",3
"DryGB4-009",3,"deer","recent",1
"DryGB5-019",1,"deer","old",2
"DryGB5-019",2,"deer","old",1
"DryGB5-019",3,"deer","recent",1
"DryGB5-019",3,"deer","old",2
"GB3-003",1,"antelope","old",4
"GB3-003",2,"antelope","old",4
"GB3-003",3,"antelope","old",6
"GB3-003",3,"horse","old",1
"GB3-014",1,"cow","old",1
"GB3-014",2,"cow","old",2
"GB4-007",1,"cow","old",1
"GB4-007",1,"horse","recent",1
"GB4-007",1,"horse","old",5
"GB4-007",2,"deer","old",3
"GB4-007",2,"horse","old",2
"GB4-007",3,"antelope","old",3
"GB4-007",3,"horse","old",3
"GB4-018",1,"cow","recent",1
"GB4-018",1,"horse","old",2
"GB4-018",2,"horse","old",1
"GB4-020",1,"horse","old",2
"GB4-020",1,"horse","recent",1
"GB4-020",1,"other","old",1
"GB4-020",2,"horse","old",1
"GB4-020",2,"other","old",2
"GB4-020",3,"other","old",1
"GB4-997",1,"cow","old",2
"GB4-997",2,"cow","old",1
"GB4-998",1,"cow","recent",1
"GB4-998",1,"cow","old",2
"GB4-998",2,"cow","old",1
"GB4-998",3,"cow","old",2
"GB4-999",1,"deer","recent",1
"GB4-999",1,"deer","old",1
"GB4-999",2,"cow","old",2
"GB4-999",3,"cow","old",3
"GB5-019x",1,"cow","old",1
"GB5-019x",1,"cow","recent",1
"GB5-019x",2,"cow","old",2
"GB5-019x",3,"cow","old",2
"GB5-019x",3,"deer","recent",1
"GB6-011",1,"cow","old",4
"GB6-011",1,"cow","recent",2
"GB6-011",3,"cow","old",3
"GB6-999",1,"cow","old",1
"GB6-999",2,"cow","old",2
"GB6-999",3,"cow","old",2
"GB7-002",1,"cow","old",2
"GB7-002",1,"other","old",1
"GB7-002",2,"cow","old",3
"GB7-002",3,"cow","old",2
"GP3-008",1,"antelope","recent",5
"GP3-008",1,"antelope","old",1
"GP3-008",1,"cow","old",1
"GP3-008",1,"deer","old",3
"GP3-008",2,"antelope","recent",1
"GP3-008",2,"antelope","old",2
"GP3-008",2,"deer","old",3
"GP3-008",3,"antelope","old",2
"GP3-008",3,"antelope","recent",4
"GP3-997",1,"cow","old",2
"GP3-997",1,"deer","old",1
"GP3-997",2,"cow","recent",1
"GP3-997",2,"deer","old",1
"GP3-997",2,"sagegrouse","old",1
"GP3-997",3,"antelope","old",1
"GP3-997",3,"cow","old",2
"GP3-999",1,"sagegrouse","recent",1
"GP3-999",2,"cow","old",2
"GP3-999",2,"deer","old",2
"GP3-999",2,"elk","old",1
"GP3-999",3,"cow","old",1
"GP3-999",3,"deer","old",1
"GP4-999",1,"cow","old",3
"GP4-999",2,"cow","old",3
"GP4-999",3,"cow","",1
"GP4-999",3,"deer","old",1
"GP5-005",1,"antelope","recent",1
"GP5-005",1,"antelope","old",2
"GP5-005",1,"cow","old",2
"GP5-005",1,"deer","recent",3
"GP5-005",1,"deer","old",4
"GP5-005",1,"elk","old",2
"GP5-005",1,"elk","recent",3
"GP5-005",2,"antelope","old",1
"GP5-005",2,"cow","old",5
"GP5-005",2,"deer","old",3
"GP5-005",2,"elk","old",5
"GP5-005",2,"elk","recent",2
"GP5-005",2,"sagegrouse","old",1
"GP5-005",3,"antelope","old",3
"GP5-005",3,"antelope","recent",2
"GP5-005",3,"cow","recent",2
"GP5-005",3,"deer","recent",4
"GP5-005",3,"deer","old",3
"GP5-005",3,"elk","recent",2
"GP5-005",3,"elk","old",2
"PNWMtn3-008",1,"deer","old",3
"PNWMtn3-008",2,"deer","old",4
"PNWMtn3-008",3,"deer","old",2
"PNWMtn7-012",2,"deer","recent",1
"RkyMtn4-015",1,"antelope","old",1
"RkyMtn4-015",1,"cow","old",6
"RkyMtn4-015",1,"cow","recent",2
"RkyMtn4-015",1,"deer","old",1
"RkyMtn4-015",1,"deer","recent",1
"RkyMtn4-015",1,"elk","old",1
"RkyMtn4-015",2,"cow","old",6
"RkyMtn4-015",2,"deer","old",1
"RkyMtn4-015",3,"cow","old",4
"RkyMtn4-015",3,"deer","recent",3
"RkyMtn4-015",3,"elk","old",1
"RkyMtn4-015",3,"sagegrouse","old",2
"RkyMtn4-017",1,"antelope","old",2
"RkyMtn4-017",1,"cow","old",2
"RkyMtn4-017",2,"antelope","old",1
"RkyMtn4-017",3,"cow","old",1
"RkyMtn5-015",1,"antelope","recent",1
"RkyMtn5-015",1,"cow","old",3
"RkyMtn5-015",1,"deer","recent",1
"RkyMtn5-015",1,"deer","old",1
"RkyMtn5-015",1,"elk","recent",2
"RkyMtn5-015",1,"elk","old",2
"RkyMtn5-015",2,"antelope","old",1
"RkyMtn5-015",2,"cow","old",5
"RkyMtn5-015",2,"deer","recent",3
"RkyMtn5-015",2,"elk","recent",2
"RkyMtn5-015",2,"elk","old",2
"RkyMtn5-015",3,"antelope","recent",2
"RkyMtn5-015",3,"antelope","old",3
"RkyMtn5-015",3,"cow","old",6
"RkyMtn5-015",3,"deer","recent",1
"RkyMtn5-015",3,"elk","old",1
"RkyMtn5-015",3,"elk","recent",1
"RkyMtn5-015",3,"sagegrouse","old",1
"RkyMtn5-017",1,"antelope","recent",3
"RkyMtn5-017",1,"antelope","old",1
"RkyMtn5-017",1,"cow","old",2
"RkyMtn5-017",1,"elk","recent",1
"RkyMtn5-017",2,"antelope","old",1
"RkyMtn5-017",2,"antelope","recent",1
