"plot","latitude","longitude","elevation","date","augerdepth","aspect","percentslope","slopeshape","t1_azimuth","t2_azimuth","t3_azimuth","dominantshrub","averagedistance","avg_PET","avg_trans_0_30cm","avg_trans_30_200cm","avg_trans_0_200cm","prop_shallow","sand","clay","map","mat","Jan_ppt","Feb_ppt","Mar_ppt","Apr_ppt","May_ppt","Jun_ppt","Jul_ppt","Aug_ppt","Sep_ppt","Oct_ppt","Nov_ppt","Dec_ppt","Jan_tavg","Feb_tavg","Mar_tavg","Apr_tavg","May_tavg","Jun_tavg","Jul_tavg","Aug_tavg","Sep_tavg","Oct_tavg","Nov_tavg","Dec_tavg"
"CP3-012",40.016221,-110.173455,1889.658081,20210709,17,18,4,"LV",0,120,240,"ARNO4",73.3529411764706,1355.9826058152,43.7215946667706,47.6219754002287,91.3435700669993,0.478649943665453,0.54004,0.25744,283.536666666667,8.34064976318484,20.1566666666667,19.4773333333333,17.5703333333333,24.0066666666667,31.4773333333333,16.3286666666667,15.8003333333333,25.6336666666667,39.4186666666667,34.317,18.9943333333333,20.3556666666667,-5.53943548387097,-2.37335714285714,3.77727419354839,7.76417777777778,12.9780107526882,18.4190666666667,22.2698279569892,20.9625268817204,16.0629388888889,8.94828494623656,1.54643333333333,-4.72795161290323
"CP3-014",38.4441896528364,-114.08477934088,1839.01733393486,20220516,30,244,2,"LV",0,120,240,"ARARA",92.296875,1420.07335507535,44.4265052466993,56.091525568665,100.518030815364,0.441975483267313,0.673432020943821,0.187048059258577,301.752,9.87267502560164,26.16,33.9213333333333,33.6956666666667,26.5093333333333,26.4733333333333,14.2156666666667,20.7796666666667,24.573,22.7663333333333,31.8803333333333,15.9296666666667,24.8476666666667,-0.74,0.936047619047619,4.84727956989247,7.98010555555556,12.8737204301075,18.5552833333333,22.6685537634409,21.7226182795699,16.9516777777778,10.1325698924731,3.6924,-1.14815591397849
"CP3-2023-01",38.3600614127129,-114.114881605016,1864.96875,20230610,40,316,3,"LL",0,120,240,"ARTRW8",90.7833333333333,1401.93309516735,52.8561757179193,47.1174482667308,99.9736239846501,0.528701207490836,0.575921157101913,0.270754889022196,309.065,9.77108038701144,25.9776666666667,36.93,32.685,26.4243333333333,24.4183333333333,12.9973333333333,21.482,26.3956666666667,23.4046666666667,33.402,15.8163333333333,29.1316666666667,-0.708682795698925,0.909714285714286,4.73043548387097,7.83391111111111,12.7185430107527,18.3781277777778,22.4695376344086,21.5351559139785,16.8185055555556,10.0436021505376,3.65221666666667,-1.12810215053763
"CP3-998",38.3534384100124,-111.626489516452,2180.61685766034,20220615,22,3,7,"LC",0,120,240,"ARTRW8",85.2666666666667,1375.68105319044,59.1516957820621,43.3413992559797,102.493095038042,0.577128593493123,0.58808,0.179306666666667,294.729,7.98493459314729,21.3533333333333,20.955,25.901,24.465,23.6133333333333,11.522,33.462,36.2463333333333,28.4543333333333,30.143,19.2453333333333,19.3683333333333,-2.71610215053763,-0.850267857142857,3.21495161290323,6.42048888888889,11.3490806451613,16.8956222222222,20.2306612903226,19.054252688172,14.7191555555556,8.35112365591398,1.98153888888889,-2.83129032258064
"CP5-002",38.121028,-108.712285,1947.6521,20210712,50,286,4,"VV",0,120,240,"ARTRW8",105.433333333333,1320.99397378893,51.3680848807512,58.3702942112353,109.738379091986,0.468095895946237,0.449413333333333,0.26056,390.419,9.59326724803721,32.7376666666667,32.377,31.03,28.9703333333333,29.2986666666667,13.8076666666667,34.8006666666667,40.9493333333333,44.146,40.6176666666667,30.146,31.538,-2.09893548387097,0.286386904761905,4.71079032258065,8.21707777777778,13.4044677419355,19.1054722222222,22.2972634408602,21.1086451612903,16.7134888888889,9.98542473118279,3.35105,-1.9619247311828
"DryGB2-006",38.1449716771377,-116.863076817353,1880.79141023257,20220518,30,74,5,"LV",0,120,240,"ARNO4",89.1470588235294,1459.46196189969,25.6196487831692,26.4752966089127,52.094945392082,0.491787611837351,0.532920082650137,0.264480437245884,153.890333333333,9.95872580111794,14.5493333333333,18.6656666666667,18.3953333333333,12.175,15.7113333333333,7.08933333333333,14.2773333333333,8.77666666666667,12.091,11.931,9.86833333333333,10.36,-0.255548387096774,1.38735119047619,5.00717741935484,8.12051666666667,12.9887688172043,18.4452555555556,22.3822634408602,21.4599677419355,16.9294333333333,10.3272634408602,3.71707222222222,-1.00481182795699
"DryGB2-019",38.4501189692304,-117.876598443946,1839.46459960938,20220518,50,20,4,"LV",0,120,240,"ARTRW8",106.816666666667,1435.81682668406,26.6356786731358,29.6032188608411,56.2388975339769,0.473616657528604,0.629812565640411,0.175443038784486,156.745,9.65680693057689,20.0106666666667,16.3363333333333,17.1253333333333,15.1723333333333,20.7386666666667,9.476,10.0256666666667,6.17266666666667,6.67266666666667,12.1456666666667,10.423,12.446,-0.124580645161291,1.40452976190476,4.74193548387097,7.65496111111111,12.4364462365591,17.6944222222222,21.8167096774194,20.8390430107527,16.3137555555556,10.0085107526882,3.82328333333333,-0.727333333333333
"DryGB3-996",47.3530019727045,-118.727828068769,529.405390106212,20220602,48,224,7,"LV",0,120,240,"ARTRT",156.066666666667,1089.6138550321,66.7843714665507,62.427940374403,129.212311840954,0.516857647038736,0.326008542291542,0.149739972005599,282.102333333333,9.62279766705069,37.38,24.7743333333333,28.71,22.0353333333333,25.945,19.3003333333333,9.169,5.51966666666667,8.95366666666667,23.537,34.666,42.112,-1.2759247311828,1.15216071428571,5.30754838709677,9.06083888888889,13.8435860215054,17.2456277777778,21.6531182795699,21.2551612903226,16.4652944444444,9.45789784946236,2.80998888888889,-1.50172580645161
"DryGB3-997",42.8126506274965,-116.239599678774,1153.55489463574,20220707,34,139,4,"LL",0,120,240,"ARTRT",91.2,1203.20087015221,48.7797263689965,67.3728051729218,116.152531541918,0.419962662211907,0.668817724455109,0.198335559554756,277.607,9.95327463410992,38.91,23.8696666666667,27.663,27.0603333333333,35.5446666666667,20.5603333333333,4.13233333333333,3.20933333333333,7.68133333333333,18.054,25.8366666666667,45.0853333333333,-0.822193548387097,1.379625,5.44108602150538,8.56809444444444,13.3972903225806,17.77325,22.9248817204301,21.9849408602151,16.6893166666667,9.87130107526882,3.34946111111111,-1.11775806451613
"DryGB3-998",42.6804505801226,-117.728035329019,1163.49836077775,20220606,18,294,0,"LL",0,120,240,"ARTRW8",155.666666666667,1218.70490897271,38.1422063585132,41.5019351644011,79.6441415229143,0.478907872307712,0.70447451309738,0.156623195360928,240.284333333333,10.2390127773511,23.939,17.7486666666667,21.462,29.6013333333333,38.463,23.8996666666667,6.27733333333333,3.60766666666667,10.0256666666667,18.7096666666667,19.7463333333333,26.804,-0.0751612903225807,2.00840476190476,5.69966129032258,8.41441111111111,13.2884516129032,17.7900388888889,23.1114032258064,22.1475215053763,17.1530444444444,10.2684139784946,3.72404444444444,-0.66208064516129
